timestamp,scenario_id,scenario,config,ruta,n_alertas,utilidad,critic_rechazos,violaciones,exito,gt_alerts_ok,gt_actions_ok,gt_critic_ok,gt_pass
2026-05-14T17:04:13.906920,S09,Riego intensivo con lluvia — test guarda,sin_prediction,estandar,0,0.7915,0,0,True,True,True,True,True
2026-05-14T17:04:13.907053,S10,Helada tardía en brotación — Castilla y ,sin_prediction,urgente,1,0.7605,0,0,True,True,True,True,True
2026-05-14T17:04:13.907196,S11,Riesgo de helada leve — temperatura lími,sin_prediction,urgente,1,0.7605,0,0,True,True,True,True,True
2026-05-14T17:04:13.907331,S12,Mildiu + estrés hídrico simultáneos — pr,sin_prediction,urgente,1,0.7845,0,0,True,True,True,True,True
2026-05-14T17:04:13.907612,S13,Estrés térmico + estrés hídrico — verano,sin_prediction,urgente,1,0.5565,0,0,True,False,True,True,False
2026-05-14T17:04:13.907840,S14,Triple alerta — mildiu + helada + viento,sin_prediction,urgente,3,0.5135,0,0,True,True,True,True,True
2026-05-14T17:04:13.908412,S15,Condiciones post-lluvia intensa — riesgo,sin_prediction,urgente,1,0.7845,0,0,True,True,True,True,True
2026-05-14T17:04:13.908738,S01,Condiciones óptimas en La Rioja — verano,sin_routing,estandar_forzado,0,0.7915,0,0,True,True,True,True,True
2026-05-14T17:04:13.908847,S02,Primavera tranquila en Navarra,sin_routing,estandar_forzado,0,0.7915,0,0,True,True,True,True,True
2026-05-14T17:04:13.908936,S03,Otoño templado en Castilla — post-vendim,sin_routing,estandar_forzado,1,0.6575,1,0,True,True,True,True,True
2026-05-14T17:04:13.909425,S04,Mildiu alto en floración — Galicia húmed,sin_routing,estandar_forzado,1,0.7845,0,0,True,True,True,True,True
2026-05-14T17:04:13.909675,S05,Mildiu crítico — humedad extrema y tempe,sin_routing,estandar_forzado,1,0.7845,0,0,True,True,True,True,True
2026-05-14T17:04:13.909934,S06,Mildiu en maduración — septiembre Galici,sin_routing,estandar_forzado,1,0.5675,1,0,True,True,True,False,False
2026-05-14T17:04:13.910346,S07,Estrés hídrico moderado — verano seco La,sin_routing,estandar_forzado,3,0.5515,0,0,True,True,True,True,True
2026-05-14T17:04:13.910802,S08,Estrés hídrico severo — ola de calor Cas,sin_routing,estandar_forzado,3,0.5515,0,0,True,True,True,True,True
2026-05-14T17:04:13.911289,S09,Riego intensivo con lluvia — test guarda,sin_routing,estandar_forzado,0,0.7915,0,0,True,True,True,True,True
2026-05-14T17:04:13.911425,S10,Helada tardía en brotación — Castilla y ,sin_routing,estandar_forzado,1,0.7605,0,0,True,True,True,True,True
2026-05-14T17:04:13.911589,S11,Riesgo de helada leve — temperatura lími,sin_routing,estandar_forzado,1,0.7605,0,0,True,True,True,True,True
2026-05-14T17:04:13.911747,S12,Mildiu + estrés hídrico simultáneos — pr,sin_routing,estandar_forzado,1,0.7845,0,0,True,True,True,True,True
2026-05-14T17:04:13.912015,S13,Estrés térmico + estrés hídrico — verano,sin_routing,estandar_forzado,3,0.5515,0,0,True,True,True,True,True
2026-05-14T17:04:13.912453,S14,Triple alerta — mildiu + helada + viento,sin_routing,estandar_forzado,3,0.5135,0,0,True,True,True,True,True
2026-05-14T17:04:13.913047,S15,Condiciones post-lluvia intensa — riesgo,sin_routing,estandar_forzado,1,0.5675,1,0,True,True,True,False,False
2026-05-14T17:04:13.913598,S01,Condiciones óptimas en La Rioja — verano,sin_critic,estandar,0,0.7915,0,0,True,True,True,True,True
2026-05-14T17:04:13.913718,S02,Primavera tranquila en Navarra,sin_critic,estandar,0,0.7915,0,0,True,True,True,True,True
2026-05-14T17:04:13.913838,S03,Otoño templado en Castilla — post-vendim,sin_critic,estandar,1,0.7845,0,1,True,True,True,False,False
2026-05-14T17:04:13.914074,S04,Mildiu alto en floración — Galicia húmed,sin_critic,urgente,1,0.7845,0,0,True,True,True,True,True
2026-05-14T17:04:13.914306,S05,Mildiu crítico — humedad extrema y tempe,sin_critic,urgente,1,0.7845,0,0,True,True,True,True,True
2026-05-14T17:04:13.914589,S06,Mildiu en maduración — septiembre Galici,sin_critic,urgente,1,0.7845,0,1,True,True,True,True,True
2026-05-14T17:04:13.914902,S07,Estrés hídrico moderado — verano seco La,sin_critic,urgente,3,0.5515,0,0,True,True,True,True,True
2026-05-14T17:04:13.915427,S08,Estrés hídrico severo — ola de calor Cas,sin_critic,urgente,3,0.5515,0,0,True,True,True,True,True
2026-05-14T17:04:13.915970,S09,Riego intensivo con lluvia — test guarda,sin_critic,estandar,0,0.7915,0,0,True,True,True,True,True
2026-05-14T17:04:13.916124,S10,Helada tardía en brotación — Castilla y ,sin_critic,urgente,1,0.7605,0,0,True,True,True,True,True
2026-05-14T17:04:13.916298,S11,Riesgo de helada leve — temperatura lími,sin_critic,urgente,1,0.7605,0,0,True,True,True,True,True
